flight_date,origin,destination,fare_class,booking_channel,passengers,avg_fare,revenue,load_factor
2024-01-01,JFK,LAX,Economy,Website,144,133.87,19277.28,0.59
2024-01-01,JFK,LAX,Premium Economy,Corporate,7,223.88,1567.16,0.64
2024-01-01,JFK,LAX,Business,Website,36,688.36,24780.96,0.73
2024-01-01,JFK,LAX,First,Corporate,2,1287.29,2574.58,0.88
2024-01-01,LAX,SEA,Economy,Mobile App,92,135.13,12431.96,0.67
2024-01-01,LAX,SEA,Premium Economy,Mobile App,23,350.85,8069.55,0.59
2024-01-01,LAX,SEA,Business,Corporate,24,540.4,12969.6,0.81
2024-01-01,LAX,SEA,First,Website,36,1369.88,49315.68,0.6
2024-01-01,JFK,ORD,Economy,Corporate,80,98.71,7896.8,0.91
2024-01-01,JFK,ORD,Premium Economy,Travel Agent,6,298.73,1792.38,0.57
2024-01-01,JFK,ORD,Business,Mobile App,7,755.82,5290.74,0.92
2024-01-01,JFK,ORD,First,Website,31,1164.31,36093.61,0.82
2024-01-01,MIA,ATL,Economy,Travel Agent,95,103.64,9845.8,0.64
2024-01-01,MIA,ATL,Premium Economy,Travel Agent,6,315.81,1894.86,0.81
2024-01-01,MIA,ATL,Business,Mobile App,17,679.72,11555.24,0.62
2024-01-01,MIA,ATL,First,Corporate,37,1099.53,40682.61,0.64
2024-01-01,JFK,MIA,Economy,Travel Agent,19,143.64,2729.16,0.65
2024-01-01,JFK,MIA,Premium Economy,Website,27,329.97,8909.19,0.67
2024-01-01,JFK,MIA,Business,Mobile App,38,800.43,30416.34,0.93
2024-01-01,JFK,MIA,First,Travel Agent,33,1065.82,35172.06,0.72
2024-01-01,LAX,DEN,Economy,Corporate,40,102.48,4099.2,0.66
2024-01-01,LAX,DEN,Premium Economy,Travel Agent,29,322.01,9338.29,0.94
2024-01-01,LAX,DEN,Business,Corporate,10,624.9,6249.0,0.77
2024-01-01,LAX,DEN,First,Website,9,1385.2,12466.8,0.62
2024-01-02,DEN,ORD,Economy,Corporate,146,125.19,18277.74,0.92
2024-01-02,DEN,ORD,Premium Economy,Website,9,312.85,2815.65,0.84
2024-01-02,DEN,ORD,Business,Travel Agent,23,754.4,17351.2,0.6
2024-01-02,DEN,ORD,First,Corporate,2,1033.8,2067.6,0.96
2024-01-02,ORD,DFW,Economy,Travel Agent,50,151.23,7561.5,0.77
2024-01-02,ORD,DFW,Premium Economy,Website,21,338.96,7118.16,0.91
2024-01-02,ORD,DFW,Business,Mobile App,12,558.28,6699.36,0.78
2024-01-02,ORD,DFW,First,Website,33,1292.98,42668.34,0.56
2024-01-02,MIA,ATL,Economy,Travel Agent,83,145.75,12097.25,0.65
2024-01-02,MIA,ATL,Premium Economy,Mobile App,7,339.98,2379.86,0.59
2024-01-02,MIA,ATL,Business,Corporate,36,769.5,27702.0,0.88
2024-01-02,MIA,ATL,First,Mobile App,37,1328.73,49163.01,0.62
2024-01-02,JFK,SFO,Economy,Corporate,143,150.78,21561.54,0.87
2024-01-02,JFK,SFO,Premium Economy,Mobile App,27,317.34,8568.18,0.98
2024-01-02,JFK,SFO,Business,Travel Agent,35,649.13,22719.55,0.74
2024-01-02,JFK,SFO,First,Mobile App,23,1072.92,24677.16,0.56
2024-01-02,BOS,DCA,Economy,Mobile App,6,128.68,772.08,0.58
2024-01-02,BOS,DCA,Premium Economy,Website,4,250.93,1003.72,0.92
2024-01-02,BOS,DCA,Business,Website,19,673.36,12793.84,0.84
2024-01-02,BOS,DCA,First,Mobile App,38,1257.87,47799.06,0.8
2024-01-02,JFK,ORD,Economy,Mobile App,109,140.22,15283.98,0.63
2024-01-02,JFK,ORD,Premium Economy,Website,24,309.93,7438.32,0.73
2024-01-02,JFK,ORD,Business,Corporate,5,784.73,3923.65,0.84
2024-01-02,JFK,ORD,First,Website,23,976.44,22458.12,0.89
2024-01-02,LAX,SEA,Economy,Website,53,108.7,5761.1,0.78
2024-01-02,LAX,SEA,Premium Economy,Mobile App,19,277.4,5270.6,0.75
2024-01-02,LAX,SEA,Business,Website,37,650.74,24077.38,0.59
2024-01-02,LAX,SEA,First,Website,17,1510.57,25679.69,0.62
2024-01-03,ATL,BOS,Economy,Corporate,147,110.85,16294.95,0.83
2024-01-03,ATL,BOS,Premium Economy,Corporate,20,240.76,4815.2,0.64
2024-01-03,ATL,BOS,Business,Website,36,694.07,24986.52,0.58
2024-01-03,ATL,BOS,First,Travel Agent,39,974.41,38001.99,0.76
2024-01-03,JFK,ORD,Economy,Mobile App,135,97.42,13151.7,0.58
2024-01-03,JFK,ORD,Premium Economy,Mobile App,6,228.92,1373.52,0.84
2024-01-03,JFK,ORD,Business,Mobile App,38,638.2,24251.6,0.66
2024-01-03,JFK,ORD,First,Website,28,1305.0,36540.0,0.83
2024-01-03,ORD,DFW,Economy,Travel Agent,57,149.04,8495.28,0.84
2024-01-03,ORD,DFW,Premium Economy,Travel Agent,27,252.27,6811.29,0.61
2024-01-03,ORD,DFW,Business,Travel Agent,6,655.23,3931.38,0.55
2024-01-03,ORD,DFW,First,Website,15,983.88,14758.2,0.77
2024-01-03,JFK,LAX,Economy,Mobile App,22,148.96,3277.12,0.93
2024-01-03,JFK,LAX,Premium Economy,Travel Agent,30,258.62,7758.6,0.91
2024-01-03,JFK,LAX,Business,Travel Agent,35,704.42,24654.7,0.55
2024-01-03,JFK,LAX,First,Travel Agent,8,1488.67,11909.36,0.95
2024-01-03,JFK,MIA,Economy,Mobile App,32,109.63,3508.16,0.87
2024-01-03,JFK,MIA,Premium Economy,Mobile App,40,256.89,10275.6,0.64
2024-01-03,JFK,MIA,Business,Travel Agent,18,574.45,10340.1,0.77
2024-01-03,JFK,MIA,First,Travel Agent,5,1473.14,7365.7,0.59
2024-01-03,DEN,ORD,Economy,Corporate,16,142.85,2285.6,0.55
2024-01-03,DEN,ORD,Premium Economy,Mobile App,18,306.93,5524.74,0.62
2024-01-03,DEN,ORD,Business,Corporate,29,685.31,19873.99,0.79
2024-01-03,DEN,ORD,First,Website,11,985.04,10835.44,0.78
2024-01-03,SFO,SEA,Economy,Travel Agent,42,128.33,5389.86,0.73
